ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 38
ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 38.5
ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 39
ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 40
ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 40.5
ed5d46dc-4693-4204-b583-8c69b01709c6,0a15714e-1d8f-42fd-8fe7-7349f1526e44,EU 41
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 35.5
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 36
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 36.5
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 37.5
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 38
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 38.5
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 39
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 40
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 40.5
ed5d46dc-4693-4204-b583-8c69b01709c6,792c3f81-60d9-40b8-a6c6-24051c406aed,EU 41
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 36
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 36.5
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 37.5
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 38
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 38.5
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 39
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 40
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 40.5
f27ce340-351b-4e55-994c-7848c63c581a,NULL,EU 41
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 36.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 37.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 38
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 38.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 39
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 40
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 40.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,55fbbb84-1b5f-4f24-b23f-8dd63a3eb8a5,EU 41
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 36.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 37.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 38
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 38.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 39
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 40
ea2c44cf-0ba4-4157-9d81-8492370b168e,b5b2d828-b471-4d73-8de7-ccf04243886f,EU 40.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 36
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 36.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 37.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 38
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 38.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 39
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 40
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 40.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,46fc79f6-7f27-4efe-9771-cd2ae65cbc54,EU 41
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 36.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 37.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 38
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 38.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 39
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 40
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 40.5
ea2c44cf-0ba4-4157-9d81-8492370b168e,8212bca7-5237-4b4b-80c9-0fd18347ee7c,EU 41
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 36.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 37.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 38
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 38.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 39
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 40
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 40.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,49863741-ecad-4744-8ca9-37001a2a5274,EU 41
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 36.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 37.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 38
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 38.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 39
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 40
f2002bae-3b57-45b6-ac64-5eb4317c0e03,0e45d38d-b068-4e2f-8f1c-0f5cfbe5e842,EU 40.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 36
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 36.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 37.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 38
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 38.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 39
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 40
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 40.5
f2002bae-3b57-45b6-ac64-5eb4317c0e03,bcaa8ddc-0e15-4720-8727-9301937d204d,EU 41
